ID,Northern,Central
171,เอา ไป เล่า หื้อ ลุง พล ฟัง ก่อ ฮู้ ว่า เมีย เปิ้น ก้า มา ยะ คลอด ตี้ นี่ ก่อ เลย ถาม ลุง พล ว่า หยัง บ่ หื้อ เมีย มา ยะ คลอด ตี้ โฮง บาน สวน ดอก,เอา ไป เล่า ให้ ลุง พล ฟัง ก็ รู้ ว่า ภรรยา แก มา คลอด ลูก ที่ นี่ เลย ถาม ลุง พล ว่า ทำ ไม แก ไม่ ให้ ภรรยา แก คลอด ที่ โรง พยาบาล สวน ดอก
172,ห้อง นี้ ใช้ สี น้ำ ต๋าล ตา ผนัง ตึง สี่ ด้าน เวลา เปิด ไฟ มัน เลย บ่ ค่อย สะ ต้อน แสง เต้า ใด ผ่อ แล้ว สบาย ต๋า ดี,ห้อง นี้ ใช้ สี น้ำ ตาล ทา ผนัง ทั้ง สี่ ด้าน เวลา เปิด ไฟ มัน เลย ไม่ ค่อย สะ ท้อน แสง เท่า ไหร่ มอง แล้ว สบาย ตา ดี
173,ฝน ตก ละ ยุง นัก ขนาด มะ แลง นี่ เฮา โดน ขบ ไป หลาย ตั๋ว ละ แขน ขา มี ก้า ตุ่ม ยุง ขบ ตึง นั้น,ฝน ตก ละ ยุง เยอะ มาก เย็น นี้ เรา โดน กัด ไป หลาย ตัว ละ แขน ขา มี แต่ ตุ่ม ยุง กัด ทั้ง นั้น
174,ปี๋ ใหม่ นี้ ว่า จะ ไป แอ่ว บน ดอย กับ เปื้อน ใคร่ อยาก ไป ฮับ ลม หนาว แต่ สี ท่า จะ ไป บ่า ได้ ละ เยียะ ก๋าน บ้าน ยัง บ่า แล้ว,ปี ใหม่ นี้ ว่า จะ ไป เที่ยว บน ดอย กับ เพื่อน อยาก ไป รับ ลม หนาว แต่ ดู ท่า จะ ไป ไม่ ได้ ละ ทำ การ บ้าน ยัง ไม่ เสร็จ
175,แม่ บอก ว่า จะ ไป ไป เป๋น คน ขี้ จุ๊ กำ หน้า อู้ อะ หยัง ไป จะ บ่ มี คน เจื้อ นา,แม่ บอก ว่า อย่า ไป เป็น คน ขี้ โก หก ต่อ ไป นี้ จะ ไม่ มี คน เชื่อ นะ
176,ยาม จะ ปิ๊ก ซื้อ ป๋า มึก ปิ้ง มา หื้อ สาม สี่ ตั๋ว เล้าะ เอา แถว บน บน เน้อ แถว ลุ่ม ตั๋ว มัน หน้อย,ตอน จะ กลับ ซื้อ ปลา หมึก ปิ้ง มา ให้ สาม สี่ ตัว สิ เอา แถว บน บน นะ แถว ล่าง ตัว มัน เล็ก
177,เดือน สี่ เป็ง นี้ วัด เฮา มี งาน สรง น้ำ พระ ธาตุ เน้อ ขอ วาน ป้อ แม่ ปี้ น้อง มา จ้วย กัน เกียม งาน กำ เน้อ,วัน เพ็ญ เดือน ยี่ นี้ วัด เรา มี งาน สรง น้ำ พระ ธาตุ นะ ขอ พ่อ แม่ พี่ น้อง บ้าน เรา มา ช่วย กัน เตรียม งาน หน่อย
178,ปอ แล้ว หน้า เข้า ปี๋ ลาง พ่อง ก็ ปลูก เข้า ดอ ลาง พ่อง ก็ ปลูก ยา ขึ่น ลาง พ่อง ก็ ปลูก ถั่ว เหลือง,พอ เสร็จ จาก นา ปี บาง คน ก็ ทำ นา ปรัง บาง คน ก็ ปลูก ยา สูบ บาง คน ก็ ปลูก ถั่ว เหลือง
179,สมุด เหล้ม นี้ อ้าย จะ ใจ๊ ก่อ ถ้า บ่ ใจ๊ น้อง ขอ เอา ไป จด เลข จด แซร์ เน้อ สมุด อัน เก่า มัน หมด ละ,สมุด เล่ม นี้ พี่ ได้ ใช้ ไหม ถ้า ไม่ ใช้ น้อง ขอ เอา ไป จด เลข จด แชร์ นะ สมุด อัน เก่า มัน หมด ละ
180,ตะ วา เมื่อ ค่ำ ตั๋ว ได้ ผ่อ ข่าว ก่อ หมอ เปิ้น ว่า จะ มี โลค ใหม่ มา แหม เหมาะ น่า กั๋ว ขนาด,เมื่อ เย็น วาน เธอ ได้ ดู ข่าว ไหม หมอ เขา บอก ว่า จะ มี โรค ใหม่ มา อีก แล้ว น่า กลัว มาก
181,นก จอก ฟ้า แป๋ง ฮาง ปล๋าย เก๊า ต๋าน สูง ใบ้ สูง ง่าว อย่าง อี้ ใผ จะ ขึ้น ไป เอา ได้,นก กระ จาบ ทำ รัง อยู่ ปลาย ต้น ตาล สูง ชะ มัด อย่าง นี้ ใคร จะ ขึ้น ไป เอา ได้
182,ผ่อ เลาะ มัน เป๋น ใผ มา กิ๋น เม็ด บะ เต้า ละ มา ขว้าง เหี้ย เบ๊อะ เต๋ม ปื๊น เหนียะ นิสัย มัก ง่าย กั๋น ขนาด,ดู สิ มัน เป็น ใคร มา กิน เม็ด แตง โม ละ มา ทิ้ง เรี่ย ราด เต็ม พื้น เนี่ย นิสัย มัก ง่าย กัน มาก
183,คัว ของ ปี้ มี เจ็ด อย่าง น่อ เจ้า ตึง หมด ตึง เสี้ยง ก้อ สอง ปัน สอง ล้อย หก สิบ สี่ บาด เจ้า,สิน ค้า ของ พี่ มี เจ็ด อย่าง นะ คะ ทั้ง หมด ก็ สอง พัน สอง ร้อย หก สิบ สี่ บาท ค่ะ
184,บ่า ไป อาบ น้ำ เตื้อ ก๋า หนาว ขนาด เลย เน้อ เดว มัน จะ อาบ บ่า ได้ นะ น้ำ เย็น เหลือ น้ำ แข็ง ก่อน,ยัง ไม่ ไป อาบ น้ำ หรอ หนาว มาก เลย นะ เดี๋ยว มัน จะ อาบ ไม่ ได้ นะ น้ำ เย็น กว่า น้ำ แข็ง อีก
185,ตั๊ด หั้น หน่ะ ศา ลา เอนก ผะสง ของ หมู่ บ้าน สู เขา จะ ปา กั๋น ไป เยียะ อะ หยัง ตี้ หั้น,ตรง นั้น แหละ ศา ลา เอนก ประ สงค์ ของ หมู่ บ้าน พวก เธอ จะ พา กัน ไป ทำ อะ ไร ที่ นั่น
186,สมัย ตะ ก่อน ตี้ ยัง บ่ มี รถ รา อะ หยัง เปิ้น ก็ ใจ้ เกี๋ยน เนี่ย เวลา ไป ไหน ไกล๋ ไกล๋ ถ้า ใกล้ ใกล้ ส่วน นัก ก็ จะ เตียว ไป,สมัย ก่อน ที่ ยัง ไม่ มี รถ รา อะ ไร เขา ก็ ใช้ เกวียน เนี่ย เวลา ไป ไหน ไกล ไกล ถ้า ใกล้ ใกล้ ส่วน มาก ก็ จะ เดิน ไป
187,แม่ บอก กี่ เตื้อ ละ ว่า จะ ไป เอา ขา ขึ้น มา เก่ย บน โต๊ะ มัน บ่า ดี จะ ไป เยี่ย หื้อ หัน แหม เน้อ,แม่ บอก กี่ ครั้ง แล้ว ว่า อย่า เอา ขา ขึ้น มา พาด บน โต๊ะ มัน ไม่ ดี อย่า ทำ ให้ เห็น อีก นะ
188,สาม ล้อย ซาว เจ้า เป๋น ผ้า ฝ้าย แต๊ เน้อ เจ้า ตอ มือ สี บ่ ต๊ก สี ย้อม ก้อ ใจ๊ สี ทำ มะ ซาด เจ้า,สาม ร้อย ยี่ สิบ ค่ะ เป็น ผ้า ฝ้าย แท้ นะ คะ ทอ มือ สี ไม่ ตก สี ย้อม ก็ ใช้ สี ธรรมชาติ ค่ะ
189,มี ก้า คน เถ้า นั่ง ผ่อ อี่ เก หน้า วัด คน หนุ่ม เขา ไป ไหน กั๋น หมด บ่ ฮู้,มี แต่ ผู้ สูง อา ยุ นั่ง ดู ลิเก ที่ หน้า วัด ส่วน วัย รุ่น ไป ไหน กัน หมด ก็ ไม่ รู้
190,ตะ เจ๊า ก็ เอา เตี่ยว ตาก ไว้ ตี้ ฮาว หนี้ ละ บ่า เดี่ยว นี้ มัน หาย ไป ไหน เหีย ละ บ่ หล้าง มี ใผ มา ลัก เอา ไป เหีย ก้า,เมื่อ เช้า เอา กาง เกง ตาก ไว้ ที่ ราว ตรง นี้ ละ ตอน นี้ มัน หาย ไป ไหน ล่ะ เนี่ย คง ไม่ ใช่ ว่า มี ใคร ขโมย ไป หรอก นะ
191,ฝน ต๋ก ตะ คืน เจ๊า นี้ เป๋น แจ๊ะ แจ๊ะ แหม้ะ แหม้ะ ก้อย เตว เน่อ เดว ผะ เลิด จะ ไป ว่า บ่า บอก,ฝน ตก เมื่อ กลาง คืน เช้า นี้ จึง เฉอะ แฉะ ค่อย เดิน นะ เดี๋ยว ลื่น ล้ม จะ หา ว่า ไม่ เตือน
192,บ่า นี้ มัน บ่ อย่าง เปิ้น ตะ ผ่อ มัน เก็บ ดอก กา สะ ลอง มา ใส่ ถง เสื้อ หั้น บ่ มี ใผ เกย ยะ อย่าง มัน สัก คน,ไอ่ นี่ มัน ไม่ เหมือน ชาว บ้าน เขา ดู มัน เก็บ ดอก ปีบ มา ใส่ กระ เป๋า เสื้อ สิ ไม่ มี ใคร เคย ทำ อย่าง มัน สัก คน
193,ปอ เข้า สู่ ช่วง หน้า แล้ง หน้า หนาว จะ อี้ ฝุ่น ควัน ก่อ เริ่ม ปั๊ด เข้า มา แหม แล้ว มะ ใด มัน จะ แก้ ปัญหา แล้ว น่อ,พอ เข้า สู่ ช่วง หน้า แล้ง หน้า หนาว แบบ นี้ ฝุ่น ควัน ก็ เริ่ม พัด เข้า มา อีก แล้ว เมื่อ ไหร่ มัน จะ แก้ ปัญหา ได้ สัก ที
194,บ่ ไหว บ่ ไหว ขนาด เปิด พัด ลม สอง ตั๋ว ยัง ฮ้อน หฺลฺว่วง หฺลฺว่วง อยู่ ดี บ่ ดี จะ ได้ ซื้อ แอร์ มา ติด ละ,ไม่ ไหว ไม่ ไหว ขนาด เปิด พัด ลม สอง ตัว ยัง ร้อน ผ่าว อยู่ เลย ดี ไม่ ดี คง จะ ต้อง ซื้อ แอร์ มา ติด ซะ ละ
195,ตะ วา หัน แก่ บ้าน เปิ้น ประ กาศ เสียง ต๋าม สาย ว่า หื้อ ไป ประ ชุม ตี้ วัด แลง วัน นี้,เมื่อ วาน ได้ ยิน ผู้ ใหญ่ บ้าน ประ กาศ เสียง ตาม สาย ว่า ให้ ไป ประ ชุม ที่ วัด เย็น วัน นี้
196,ไอ่ หน้อย หั้น มัน เป๋น ลูก ใผ หลาน ใผ ฮ้าย ใบ้ ฮ้าย ง่าว โล่น ไป โล่น มา ตึง บ่า กั๋ว หยัง,เจ้า หนู นั่น เป็น ลูก หลาน ใคร ซน มาก มาก วิ่ง ไป วิ่ง มา ไม่ กลัว อะ ไร เลย
197,ตั๋ว เมือง เปิ้น เรียน หื้อ ฮู้ หื้อ อ่าน ออก เขียน ได้ หื้อ สืบ สาน เป๋น จู้บ จู้บ บ่ ใจ้ เฮียน แล้ว เอา ไป อวด ไป ข่ม ไป ด่า ไป จับ ผิด เปิ้น,ตัว เมือง ท่าน เรียน ให้ รู้ ให้ อ่าน ออก เขียน ได้ ให้ สืบ สาน เป็น รุ่น รุ่น ไม่ ใช่ เรียน แล้ว เอา ไป อวด ไป ข่ม ไป ด่า ไป จับ ผิด ใคร เขา
198,แหม บึด เฮา จะ ไป กาด ใผ จะ ไป โตย เฮา พ่อง เฮา บ่า ใคร่ ไป คน เดว อะ เฮา ง่อม ใผ ก่อ ได้ ไป เป๋น กู้ เฮา กำ,อีก สัก พัก เรา จะ ไป ตลาด ใคร จะ ไป กับ เรา บ้าง เรา ไม่ อยาก ไป คน เดียว อะ เรา เหงา ใคร ก็ ได้ ไป เป็น เพื่อน เรา หน่อย
199,กู้ วัน ศุกร์ ตาง ผู้ ว่า เปิ้น มี คำ สั่ง หื้อ หมู่ พนัก งาน เฮา แต่ง ชุด เมือง มา ยะ ก๋าน กัน อี้ หนา,ทุก วัน ศุกร์ ทาง ผู้ ว่า เขา มี คำ สั่ง ให้ พวก พนัก งาน เรา แต่ง ชุด พื้น เมือง มา ทำ งาน กัน น่ะ
200,ป้อ เอา ขะ แจ๋ มา หื้อ ลูก ตี้ บ้าน กำ ลูก ลืม ไว้ ตี้ ล้าน ป้อ อะ ลูก เข้า บ้าน บ่า ได้ ยุง ขบ เต๋ม หน้า แข้ง เลย เจ้า,พ่อ เอา กุญ แจ มา ให้ ลูก ที่ บ้าน หน่อย ลูก ลืม ไว้ ที่ ร้าน พ่อ อะ ลูก เข้า บ้าน ไม่ ได้ ยุง กัด เต็ม ขา เลย ค่ะ
201,วัน นี้ ป้อ แป๋ง ผัด บะ แต๋ง กับ ต้ม บ่า นอย ของ มัก ลูก หื้อ ตวย หนา ฮ้อง น้อง ลง มา กิ๋น เข้า ตวย,วัน นี้ พ่อ ทำ ผัด แตง กวา กับ ต้ม บวบ ของ ชอบ ลูก ให้ ด้วย นะ เรียก น้อง ลง มา กิน ข้าว ด้วย
202,วัน พูก กะ วัน เกิด อิ หล้า ละ เฮา เกียม คัว ตี้ จะ เอา ไป ใส่ บาตร วัน พูก บ๋อ ป้อ,พรุ่ง นี้ ก็ วัน เกิด ลูก แล้ว เรา เตรียม ของ ที่ จะ ไป ทำ บุญ พรุ่ง นี้ กัน ไหม พ่อ
203,สู เขา ตึ้ง บ่า กึด พ่อง กา ว่า เขา จะ โขด เฮา อะ เล่น นั่ง เล่า ขวัญ เปิ้น ส่อง หน้า อย่าง อี้,พวก เธอ ไม่ คิด บ้าง หรอ ว่า เขา จะ โกรธ เรา เล่น นั่ง นินทา เขา ต่อ หน้า แบบ นี้
204,รถ ไฟ ใต้ ดิน นี้ มัน ก็ ดี เหมือน กั๋น เนาะ บ่ ต้อง ได้ รอ เมิน กำ เดียว ก็ มา ละ,รถ ไฟ ใต้ ดิน นี่ ก็ ดี เหมือน กัน นะ ไม่ ต้อง ได้ รอ นาน ครู่ เดียว ก็ มา ละ
205,นั่ง ผ่อ ฮูป เก่า เก่า ต๋อน ไป แอ่ว เกาะ สี ชัง มัน ก็ กึ้ด เติง หา แต้ นอ อยาก ปิ้ก ไป แถม รอบ บ่ ฮู้ ว่า จะ ได้ ไป เมื่อ ใด,นั่ง ดู รูป เก่า เก่า ตอน ไป เที่ยว เกาะ สี ชัง มัน ก็ คิด ถึง จริง นะ อยาก กลับ ไป อีก รอบ ไม่ รู้ ว่า จะ ได้ ไป เมื่อ ไหร่
206,บ่ ปอ ใจ๋ อะ หยัง ก่อ บอก มา จะ ไป แป๋ง หน้า จะ อั้น มา มาบ ต๋า จัง ใส่ แหม เป๋น อะ หยัง ก่อ อู้ มา กะ,ไม่ พอ ใจ อะ ไร ก็ บอก มา อย่า ไป ทำ หน้า แบบ นั้น มา จ้อง เขม็ง อีก เป็น อะ ไร ก็ พูด มา สิ
207,เจ้า หมู่ เฮา เวลา ไป ฮ้อง คาราโอเก๊ะ โตย กั๋น มัน ชอบ ฮ้อง เพง ฝรั่ง เฮา ฟัง บ่า ฮู้ เรื่อง ได้ ก้า นั่ง ผ่อ,เพื่อน เรา เวลา ไป ร้อง คาราโอเกะ ด้วย กัน มัน ชอบ ร้อง เพลง ฝรั่ง เรา ฟัง ไม่ รู้ เรื่อง ได้ แต่ นั่ง ดู
208,วัน พูก มะ ตอน หมอ ตี้ โฮง ยา เปิ้น จะ มา ตรวจ โควิด หื้อ คน ใน หมู่ บ้าน เฮา ฟรี,วัน พรุ่ง นี้ ตอน กลาง วัน หมอ ที่ โรง พยาบาล เค้า จะ มา ตรวจ โควิด ให้ คน ใน หมู่ บ้าน เรา ฟรี
209,แม่ บ้าน เฮา มี ตี้ ไหน ขาย เจื้อก สี ขาว สี แดง พ่อง จะ ซื้อ ไป เยี่ยะ ก๋าน ส่ง ครู วัน พูก,แม่ บ้าน เรา มี ที่ ไหน ขาย เชือก สี ขาว สี แดง บ้าง จะ ซื้อ ไป ทำ งาน ส่ง ครู วัน พรุ่ง นี้
210,เปิ้น บอก ว่า จะ มา ฮับ น้อง น้อง ก่อ ถ้า จ้าด เมิน แล้ว มัน หยัง บ่ มา ฮับ เต๊า บ่ เด่ว,เขา บอก ว่า จะ มา รับ หนู หนู ก็ รอ นาน มาก แล้ว ทำ ไม ยัง ไม่ มา รับ ซัก ที
211,บอก แล้ว ว่า จะ ไป เล่น ผ่อ ลอ เสื้อ ผ้า มี ก้า ขี้ เปอะ ไป ซัก คน เดว เลย เน้อ,บอก แล้ว ว่า อย่า เล่น ดู สิ เสื้อ ผ้า มี แต่ โคลน ไป ซัก คน เดียว เลย นะ
212,สู สู แหม สาม เดือน บ่า หล้า มัน จะ บวช เน่อ สู เขา ไป จ้วย งาน ปอย บวช มัน ตวย หนา ไป ฮับ กิ๋น ฮับ ตาน กัน,พวก เธอ อีก สาม เดือน ลูก จะ บวช นะ พวก เธอ ไป ช่วย งาน บวช มัน ด้วย ไป รับ บุญ กัน
213,ฮา ว่า จะ เข้า ไป ยืม หนัง สือ ตี้ ห้อง สมุด คณะ คิง จะ ไป ตวย ฮา ก่อ ห้อง สมุด กับ ห้อง เฮียน คิง มัน มี แหมะ กั๋น หั้น นะ,กู ว่า จะ ไป ยืม หนัง สือ ที่ ห้อง สมุด คณะ มึง จะ ไป กับ กู ป้ะ ห้อง สมุด กับ ห้อง เรียน มึง มัน อยู่ ติด กัน นั่น แหละ
214,วัน นี้ ไป ป้า ถอน เขี้ยว ที่ โฮง ยา ท่า จะ บ่า ได้ ไป จ้วย เก็บ คัว ตี้ บ้าน เน้อ,วัน นี้ ป้า ไป ถอน ฟัน ที่ โรง พยาบาล คง จะ ไม่ ได้ ไป ช่วย เก็บ ของ ที่ บ้าน นะ
215,แม่ ตะ วา ครู วิ ชา คณิต ของ น้อง มา บอก ว่า น้อง ท่อง สูตร คูณ บ่า ค่อย คล่อง หื้อ ไป ฝึก เจื่อ เจื่อ,แม่ เมื่อ วาน ครู วิ ชา คณิต ของ น้อง มา บอก ว่า น้อง ท่อง สูตร คูณ ยัง ไม่ ค่อย คล่อง ให้ ไป ฝึก บ่อย บ่อย
216,วัน นี้ ป้อ หลวง บ้าน ประ กาศ หื้อ หมู่ จาว บ้าน บ้าน เฮา ไป ตรวจ โควิด ตี้ อนามัย วัน พูก เน้อ,วัน นี้ ผู้ ใหญ่ บ้าน แก ประ กาศ ว่า ให้ พวก ชาว บ้าน หมู่ บ้าน เรา ไป ตรวจ โควิด ที่ สถานี อนามัย พรุ่ง นี้ นะ
217,อิ แม่ เจ้า วัน นี้ จะ เยียะ หยัง กิน ก่า เจ้า บ่า เดี่ยว นี้ อิ ป้อ หื้อ มา ถาม อิ แม่ หนิ เจ้า,แม่ คะ วัน นี้ จะ ทำ อะ ไร กิน กัน คะ ตอน นี้ พ่อ ให้ มา ถาม แม่ ค่ะ
218,หน้า หนาว เมื่อ ใด ขอ จะ ไป มา จวน ไป แอ่ว บน ดอย เต้อะ ลด นัก คน นัก,ฤดู หนาว เมื่อ ไหร่ อย่า มา ชวน ไป เที่ยว บน ดอย เลย รถ เยอะ คน เยอะ
219,อ้าย เต๊ก แป๋ง ฮ้าน นี้ ตั้ง ตะ วา ละ ยัง บ่ แล้ว เตื้อ สี ท่า จะ บ่า เป๋น ลาย,พี่ พยายาม ทำ แคร่ นั่ง นี้ ตั้ง แต่ เมื่อ วาน แล้ว ยัง ไม่ เสร็จ สัก ที ดู แล้ว น่า จะ ไม่ ทำ ไม่ สำ เร็จ
220,ลง มา กิ๋น เข้า กิ๋น น้ำ พ่อง มัว ก้า เล่น เกม เดว ก่อน เตอะ เดือน หน้า จะ บ่า จ่าย ก้า เน็ต หื้อ ละ,ลง มา กิน ข้าว กิน น้ำ บ้าง มัว เล่น แต่ เกม เดี๋ยว ก่อน เถอะ เดือน หน้า จะ ไม่ จ่าย ค่า เน็ต ให้ ละ
221,เปิ้น ว่า จะ ไป หื้อ หมา หื้อ แมว ไป เกิด บน หัว นอน เปิ้น ว่า จะ ตก ขึด ใส่ บ้าน ใส่ ตั๋ว เก่า,เขา ว่า อย่า ให้ หมา ให้ แมว ไป ออก ลูก บน หัว นอน เขา ว่า จะ เกิด อัปมงคล แก่ บ้าน แก่ ตน เอง
222,ตี้ ผ่าน มา คน เจียง ใหม่ ตึง บ่ เกย หัน ผู้ ว่า ออก งาน เป๋น แต้ เป๋น ว่า บาง พ่อง ก่อ บอก ว่า บ่ มี ผู้ ว่า เหีย ละ ก้า,ที่ ผ่าน มา คน เชียง ใหม่ ไม่ เคย เห็น ผู้ ว่า ออก งาน เป็น จริง เป็น จัง บาง คน ก็ บอก ว่า คง ไม่ มี ผู้ ว่า แล้ว มั้ง
223,แม่ ก๊า นี้ ก่อ ดาย เปิ้น ซื้อ ส้ม กิโล เดว ยัง มา เผื่อ หื้อ แหม อยู่ บ่ กั๋ว ปุ๋ด ตืน กา,แม่ ค้า คน นี้ นะ ฉัน ซื้อ ส้ม กิโล กรัม เดียว ยัง แถม ให้ อีก ไม่ กลัว ขาด ทุน หรือ
224,ป้อ หนาน แป๋ง ผ้า หัว เคียน แอว ดี ดี หน้อย ก่า เตียว ไป เตียว มา ปอ จะ ฮูด กับ ปื้น ละ นั้น,พ่อ หนาน เอา ผ้า ขาว ม้า เคียน เอว ให้ มัน ดี ดี หน่อย สิ เดิน ไป เดิน มา ชาย ผ้า จะ ลาก ไป กับ พื้น แล้ว นั่น
225,ผี ก๊ะ ยักษ์ เข้า ลุง ทา คูบา วัด หลวง ว่า กา ถา มนต์ น้ำ หด มัน มัน ได้ ตึง ไห้ ตึง หุย,ผี กะ ยักษ์ เข้า สิง ลุง ทา ครูบา วัด หลวง เสก คา ถา มนต์ น้ำ รด มัน มัน ร้อง ไห้ คร่ำ ครวญ
226,เฮา เตว ไป เอา บ๋อ ร้าน ต๋ำ ส้ม มี นี่ กับ นี่ บ่า ดาย เอา รถ เคื่อง ไป เดว มัน จะ เปื๋อง น้ำ มัน หั้น,เรา เดิน ไป ดี มั้ย ร้าน ส้ม ตำ อยู่ แค่ นี้ เอง เอา เครื่อง ไป เดี๋ยว มัน จะ เปลือง น้ำ มัน เอา
227,แลง นี้ ถ้า บ้าน ใด กิ๋น ข้าว แลง แล้ว ละ กะ ว่าง หื้อ ไป จ้วย กัน ต้อง ฮับ กอง ผ้า ป่า ตี้ วัด เน้อ,เย็น นี้ ถ้า บ้าน ไหน กิน ข้าว เย็น เสร็จ แล้ว ว่าง ให้ ไป ช่วย กัน ต้อง รับ ขบวน ผ้า ป่า ที่ วัด นะ
228,ป้อ วัน พูก ไป ซื้อ บอก เข้า หลาม กำ เริ่ม หนาว ละ ต้อง กิ๋น เข้า หลาม กับ นั่ง ผิง ไฟ ไป โตย,พ่อ วัน พรุ่ง นี้ ไป ซื้อ กระ บอก ข้าว หลาม หน่อย เริ่ม หนาว แล้ว ต้อง กิน ข้าว หลาม กับ นั่ง ผิง ไฟ ไป ด้วย
229,จะ ต๋าม ไฟ ตวย ตาง เข้า มา ใน วัด ต๋อน เมื่อ คืน น้ำ มัน ก๊าด จะ ปอ ก๊ะ ถ้า บ่ ปอ เดียว จะ ไป ซื้อ มา หื้อ,จะ จุด ไฟ ตาม ทาง เข้า มา ใน วัด ตอน กลาง คืน น้ำ มัน ก๊าด มี พอ เหรอ ถ้า ไม่ พอ เดี๋ยว จะ ไป ซื้อ มา ให้
230,วัน พูก แม่ จะ ไป สวน ใส่ น้ำ บะ ลำ ไย ฝาก เอา เข้า หื้อ ไก่ กำ เน้อ จะ ไป ลืม หนา,วัน พรุ่ง นี้ แม่ จะ ไป สวน ใส่ น้ำ ลำ ไย ฝาก เอา ข้าว ให้ ไก่ ด้วย นะ อย่า ลืม นะ
231,แก๋ง โฮะ ขั้ว โฮะ เนี่ย ตี้ แต้ มัน เป๋น ของ ตี้ เอา ของ กิ๋น เหลือ วัน ก่อน ก๊อน มา ขั้ว สูน กั๋น ใหม่ บ่ หื้อ เสีย ดาย ของ,แกง โฮะ คั่ว โฮะ เนี่ย ที่ แท้ มัน เป็น ของ ที่ เอา ของ กิน เหลือ วัน ก่อน ก่อน มา คั่ว ผสม กัน อีก รอบ เพื่อ ไม่ ให้ เสีย ดาย ของ
232,เปิ้น ส่ง หื้อ ไป ฮ่ำ ไป เฮียน หนี ปิ๊ก มา บ้าน ละ กะ ปา กั๋น โละ แอ่ว แฮ่น ขึ้น แฮ่น ล่อง ละ อ่อน หมู่ หนิ,เขา ส่ง ให้ ไป ร่ำ ไป เรียน หนี กลับ มา บ้าน แล้ว ก็ พา กัน ไป เที่ยว เตร็ด เตร่ ไอ้ เด็ก พวก นี้
233,ผ่อ ลูก ป้า จั๋น หล่าย กอง ลอ สูง เกิ้ง เดิ้ง หยั่ง ป้อ มัน เน้าะ บ่ ได้ ป๊ะ เมิน ละ เป๋น ว่า ใหญ่ ปั๋น อี้ ก่อน น้อ,ดู ลูก ป้า จันทร์ ซอย ข้าง ข้าง สิ สูง มาก เหมือน พ่อ มัน เลย ไม่ ได้ เจอ นาน ละ โต ขึ้น เยอะ เลย
234,ตั๋ว แลง นี้ ไป แอ่ว เปิ้น จะ ใส่ เสื้อ สี อะ หยัง ดี สี แดง ก่า ว่า สี เขียว สี ใด งาม จ้วย เปิ้น เลือก กำ เลาะ,ตัว เย็น นี้ ไป เที่ยว เค้า จะ ใส่ เสื้อ สี อะ ไร ดี สี แดง หรือ ว่า สี เขียว สี ไหน สวย ช่วย เค้า เลือก หน่อย สิ
235,ป้า เหมย ยะ แกง บ่า ฟัก หม่น วัน นี้ ลำ ขนาด เปิ้น ใส่ อะ หยัง ก๋า น้ำ แกง ตึง ลำ เหมาะ ขนาด,ป้า เหมย ทำ แกง ฟัง เขียว วัน นี้ อร่อย มาก เขา ใส่ อะ ไร บ้าง น้ำ แกง ถึง อร่อย แบบ นี้
236,ผ่อ บ้าน ข้าง ข้าง เปิ้น หยัง มา หมั่น ฮิ หมั่น หา กั๋น แต้ ตึง วัน นี้ รวย เอา รวย เอา จ๋น ปอ บ่ ฮู้ จะ เอา ซะ ตาง ไป ไว้ ตี้ ไหน ละ,ดู บ้าน ข้าง ข้าง เขา ทำ ไม ถึง ขยัน ทำ งาน กัน จริง ทุก วัน นี้ รวย เอา รวย เอา จน ไม่ รู้ จะ เอา เงิน ไป ไว้ ที่ ไหน ละ
237,เวลา เปิ้น เอา ผัก ใส่ ใน กระ ทะ เสียง มัน ดัง ซฺว่า จ้าด เหมาะ ต๋อน เฮา ยะ มัน หยัง มา บ่ เป๋น จะ อี้ พ่อง,เวลา เขา เอา ผัก ใส่ ใน กระ ทะ เสียง มัน ดัง ซ่า เพราะ หู ที เรา ทำ ทำ ไม มัน ไม่ เป็น อย่าง นี้ บ้าง
238,ดอก ไม้ เอา ดอก ต๋า หล้อม ก้อ ได้ ไป เด๊ด ตี้ ฮิม ฮั้ว บ้าน ลุง หวัง หั้น อี่ แม่ จ๋า กั๊บ เปิ้น ไว้ แล้ว,ดอก ไม้ เอา ดอก บาน ไม่ รู้ โรย ก็ ได้ ไป เด็ด เอา ที่ ริม รั้ว บ้าน ลุง หวัง แม่ บอก เขา ไว้ แล้ว
239,ข่าว ลง เต๋ม เฟซบุ๊ค หั้น ว่า มี นัก ท่อง เที่ยว เปิ้น ลุก จาก ตัง ใต้ มา มา แอ่ว จั๋ง วัด น่าน มา ปะ ใส่ เต็นท์ พัก เป็น ฮา เปิ้น ว่า ตึง ใคร่ หลาบ แต้ นะ,ข่าว ลง เต็ม หน้า เฟซบุ๊ค ว่า มี นัก ท่อง เที่ยว เดิน ทาง จาก ภาค ใต้ มา เที่ยว ที่ จัง หวัด น่าน มา เจอ เต้นท์ พัก ขึ้น รา ที นี้ คง จะ เข็ด แล้ว จริง นะ
240,จะ ใด ก่อ จ้าง เต้อะ เจ้า ตึง บ่า ไป แอ่ว กับ มัน เจ้า บ่า ซอบ คน ขี้ จุ๊ จะ อี้,ถึง อย่าง ไร ก็ ตาม ฉัน ก็ ไม่ ไป เที่ยว กับ เขา ฉัน ไม่ ชอบ คน โก หก แบบ นี้
